,Course Name,Prereqs
2102,USP 159A,[]
2103,USP 161,[]
2104,USP 175,[]
2105,USP 181,[]
2107,USP 179,[]
2109,VIS 100,[]
2110,USP 50,[]
2111,USP 193,[]
2113,VIS 110M,[]
2115,VIS 108,[]
2116,VIS 11,[]
2117,VIS 122D,[]
2118,VIS 112,[]
2119,VIS 124F,[]
2120,VIS 125BN,[]
2121,VIS 126AN,[]
2124,VIS 132,[]
2131,AIP 197DC,[]
2132,VIS 84,[]
2134,ANAR 116,[]
2135,VIS 2,[]
2136,ANBI 143,[]
2137,ANSC 104,[]
2138,ANBI 131,[]
2140,ANSC 154,[]
2141,ANSC 118,[]
2142,ANSC 169,[]
2143,ANSC 119,[]
2144,ANSC 120,[]
2145,ANSC 131,[]
2146,ANSC 137,[]
2152,CAT 87,[]
2153,CENG 15R,[]
2170,CSE 151,[]
2171,CSE 154,[]
2172,CSE 42,[]
2174,ECON 109T,[]
2175,ECON 100AH,[]
2176,ECE 188,[]
2177,EDS 131,[]
2180,ERC 1,[]
2182,ETHN 112C,[]
2183,ETHN 108,[]
2184,ETHN 112B,[]
2185,ETHN 183,[]
2186,ETHN 109,[]
2188,ETHN 161,[]
2189,ETHN 125,[]
2190,HIEU 109,[]
2192,HIEU 138,[]
2193,HIEA 190M,[]
2194,HIEU 102,[]
2195,HIEU 122,[]
2196,HIEU 160,[]
2197,HILA 123,[]
2198,HINE 111,[]
2199,HISC 115,[]
2200,HIUS 108B,[]
2203,HIUS 142B,[]
2204,HIUS 124,[]
2205,HIUS 156,[]
2206,HUM 119,[]
2208,LIGN 144,[]
2210,LTCS 110,[]
2211,HIUS 168,[]
2212,LIGN 155,[]
2213,LTCS 170,[]
2214,LTEN 154,[]
2215,LTEN 87,[]
2216,LTEN 28,[]
2218,LTEN 140,[]
2219,LTGM 100,[]
2220,LTEU 141,[]
2221,LTEA 110C,[]
2222,LTWL 150,[]
2227,LTRU 150,[]
2228,LTWL 116,[]
2229,LTWL 176,[]
2230,LTWL 183,[]
2231,MAE 140,[]
2241,MGT 129,[]
2242,MUIR 1,[]
2243,MUIR 2,[]
2247,MUS 87,[]
2248,NANO 108,[]
